sku,location,period,qty,flag,observed
SKU_0003,EKB,2023-01,358.0,,True
SKU_0003,EKB,2023-02,313.0,,True
SKU_0003,EKB,2023-03,286.0,,True
SKU_0003,EKB,2023-04,216.0,,True
SKU_0003,EKB,2023-05,192.0,,True
SKU_0003,EKB,2023-06,196.0,,True
SKU_0003,EKB,2023-07,211.0,,True
SKU_0003,EKB,2023-08,250.0,,True
SKU_0003,EKB,2023-09,247.0,,True
SKU_0003,EKB,2023-10,328.0,,True
SKU_0003,EKB,2023-11,296.0,,True
SKU_0003,EKB,2023-12,321.0,,True
SKU_0003,EKB,2024-01,389.0,,True
SKU_0003,EKB,2024-02,244.0,,True
SKU_0003,EKB,2024-03,262.0,,True
SKU_0003,EKB,2024-04,254.0,,True
SKU_0003,EKB,2024-05,233.0,,True
SKU_0003,EKB,2024-06,205.0,,True
SKU_0003,EKB,2024-07,293.0,,True
SKU_0003,EKB,2024-08,271.0,,True
SKU_0003,EKB,2024-09,274.0,,True
SKU_0003,EKB,2024-10,268.0,,True
SKU_0003,EKB,2024-11,310.0,,True
SKU_0003,EKB,2024-12,306.0,,True
SKU_0003,EKB,2025-01,380.0,,True
SKU_0003,EKB,2025-02,283.0,,True
SKU_0003,EKB,2025-03,212.0,,True
SKU_0003,EKB,2025-04,302.0,,True
SKU_0003,EKB,2025-05,218.0,,True
SKU_0003,EKB,2025-06,183.0,,True
SKU_0003,EKB,2025-07,209.0,,True
SKU_0003,EKB,2025-08,246.0,,True
SKU_0003,EKB,2025-09,276.0,,True
SKU_0003,EKB,2025-10,314.0,,True
SKU_0003,EKB,2025-11,355.0,,True
SKU_0003,EKB,2025-12,290.0,,True
SKU_0003,MSK,2023-01,834.0,,True
SKU_0003,MSK,2023-02,729.0,,True
SKU_0003,MSK,2023-03,666.0,,True
SKU_0003,MSK,2023-04,502.0,,True
SKU_0003,MSK,2023-05,447.0,,True
SKU_0003,MSK,2023-06,455.0,,True
SKU_0003,MSK,2023-07,491.0,,True
SKU_0003,MSK,2023-08,581.0,,True
SKU_0003,MSK,2023-09,575.0,,True
SKU_0003,MSK,2023-10,763.0,,True
SKU_0003,MSK,2023-11,689.0,,True
SKU_0003,MSK,2023-12,747.0,,True
SKU_0003,MSK,2024-01,905.0,,True
SKU_0003,MSK,2024-02,568.0,,True
SKU_0003,MSK,2024-03,609.0,,True
SKU_0003,MSK,2024-04,590.0,,True
SKU_0003,MSK,2024-05,542.0,,True
SKU_0003,MSK,2024-06,476.0,,True
SKU_0003,MSK,2024-07,681.0,,True
SKU_0003,MSK,2024-08,629.0,,True
SKU_0003,MSK,2024-09,637.0,,True
SKU_0003,MSK,2024-10,624.0,,True
SKU_0003,MSK,2024-11,721.0,,True
SKU_0003,MSK,2024-12,711.0,,True
SKU_0003,MSK,2025-01,883.0,,True
SKU_0003,MSK,2025-02,659.0,,True
SKU_0003,MSK,2025-03,493.0,,True
SKU_0003,MSK,2025-04,703.0,,True
SKU_0003,MSK,2025-05,508.0,,True
SKU_0003,MSK,2025-06,426.0,,True
SKU_0003,MSK,2025-07,486.0,,True
SKU_0003,MSK,2025-08,572.0,,True
SKU_0003,MSK,2025-09,643.0,,True
SKU_0003,MSK,2025-10,731.0,,True
SKU_0003,MSK,2025-11,825.0,,True
SKU_0003,MSK,2025-12,674.0,,True
SKU_0004,MSK,2023-01,499.0,,True
SKU_0004,MSK,2023-02,652.0,,True
SKU_0004,MSK,2023-03,651.0,,True
SKU_0004,MSK,2023-04,643.0,,True
SKU_0004,MSK,2023-05,905.0,,True
SKU_0004,MSK,2023-06,771.0,,True
SKU_0004,MSK,2023-07,616.0,,True
SKU_0004,MSK,2023-08,747.0,,True
SKU_0004,MSK,2023-09,587.0,,True
SKU_0004,MSK,2023-10,459.0,,True
SKU_0004,MSK,2023-11,348.0,,True
SKU_0004,MSK,2023-12,522.0,,True
SKU_0004,MSK,2024-01,609.0,,True
SKU_0004,MSK,2024-02,530.0,,True
SKU_0004,MSK,2024-03,915.0,,True
SKU_0004,MSK,2024-04,851.0,,True
SKU_0004,MSK,2024-05,797.0,,True
SKU_0004,MSK,2024-06,921.0,,True
SKU_0004,MSK,2024-07,896.0,,True
SKU_0004,MSK,2024-08,865.0,,True
SKU_0004,MSK,2024-09,604.0,,True
SKU_0004,MSK,2024-10,488.0,,True
SKU_0004,MSK,2024-11,544.0,,True
SKU_0004,MSK,2024-12,646.0,,True
SKU_0004,MSK,2025-01,610.0,,True
SKU_0004,MSK,2025-02,862.0,,True
SKU_0004,MSK,2025-03,861.0,,True
SKU_0004,MSK,2025-04,844.0,,True
SKU_0004,MSK,2025-05,1049.0,,True
SKU_0004,MSK,2025-06,1059.0,,True
SKU_0004,MSK,2025-07,693.0,,True
SKU_0004,MSK,2025-08,631.0,,True
SKU_0004,MSK,2025-09,707.0,,True
SKU_0004,MSK,2025-10,580.0,,True
SKU_0004,MSK,2025-11,605.0,,True
SKU_0004,MSK,2025-12,648.0,,True
SKU_0005,MSK,2023-01,563.0,,True
SKU_0005,MSK,2023-02,684.0,,True
SKU_0005,MSK,2023-03,877.0,,True
SKU_0005,MSK,2023-04,712.0,,True
SKU_0005,MSK,2023-05,639.0,,True
SKU_0005,MSK,2023-06,537.0,,True
SKU_0005,MSK,2023-07,478.93453233598615,missing_row,False
SKU_0005,MSK,2023-08,594.4958166133549,missing_row,False
SKU_0005,MSK,2023-09,501.0,,True
SKU_0005,MSK,2023-10,297.0,,True
SKU_0005,MSK,2023-11,651.0,,True
SKU_0005,MSK,2023-12,636.0,,True
SKU_0005,MSK,2024-01,838.0,,True
SKU_0005,MSK,2024-02,590.0,,True
SKU_0005,MSK,2024-03,762.0,,True
SKU_0005,MSK,2024-04,667.0,,True
SKU_0005,MSK,2024-05,689.0,,True
SKU_0005,MSK,2024-06,545.0,,True
SKU_0005,MSK,2024-07,401.0,,True
SKU_0005,MSK,2024-08,580.6537637012822,missing_row,False
SKU_0005,MSK,2024-09,521.0,,True
SKU_0005,MSK,2024-10,520.0,,True
SKU_0005,MSK,2024-11,611.0,,True
SKU_0005,MSK,2024-12,709.0,,True
SKU_0005,MSK,2025-01,831.0,,True
SKU_0005,MSK,2025-02,666.0,,True
SKU_0005,MSK,2025-03,728.0,,True
SKU_0005,MSK,2025-04,744.0,,True
SKU_0005,MSK,2025-05,717.9549479274003,missing_row,False
SKU_0005,MSK,2025-06,627.0,,True
SKU_0005,MSK,2025-07,633.0,,True
SKU_0005,MSK,2025-08,615.0,,True
SKU_0005,MSK,2025-09,593.0,,True
SKU_0005,MSK,2025-10,613.0,,True
SKU_0005,MSK,2025-11,669.0,,True
SKU_0005,MSK,2025-12,610.0,,True
SKU_0006,MSK,2023-01,163.0,,True
SKU_0006,MSK,2023-02,151.0,,True
SKU_0006,MSK,2023-03,157.0,,True
SKU_0006,MSK,2023-04,132.0,,True
SKU_0006,MSK,2023-05,123.0,,True
SKU_0006,MSK,2023-06,101.0,,True
SKU_0006,MSK,2023-07,88.0,,True
SKU_0006,MSK,2023-08,100.0,,True
SKU_0006,MSK,2023-09,91.0,,True
SKU_0006,MSK,2023-10,110.0,,True
SKU_0006,MSK,2023-11,115.0,,True
SKU_0006,MSK,2023-12,138.0,,True
SKU_0006,MSK,2024-01,155.0,,True
SKU_0006,MSK,2024-02,116.0,,True
SKU_0006,MSK,2024-03,156.6424849533541,promo,False
SKU_0006,MSK,2024-04,141.0,,True
SKU_0006,MSK,2024-05,128.0,,True
SKU_0006,MSK,2024-06,123.0,,True
SKU_0006,MSK,2024-07,97.0,,True
SKU_0006,MSK,2024-08,93.0,,True
SKU_0006,MSK,2024-09,101.0,,True
SKU_0006,MSK,2024-10,102.0,,True
SKU_0006,MSK,2024-11,121.0,,True
SKU_0006,MSK,2024-12,138.0,,True
SKU_0006,MSK,2025-01,154.0,,True
SKU_0006,MSK,2025-02,160.0,,True
SKU_0006,MSK,2025-03,179.0,,True
SKU_0006,MSK,2025-04,134.0,,True
SKU_0006,MSK,2025-05,129.0,,True
SKU_0006,MSK,2025-06,117.0,,True
SKU_0006,MSK,2025-07,97.0,,True
SKU_0006,MSK,2025-08,90.0,,True
SKU_0006,MSK,2025-09,97.0,,True
SKU_0006,MSK,2025-10,103.0,,True
SKU_0006,MSK,2025-11,132.0,,True
SKU_0006,MSK,2025-12,164.0,,True
SKU_0007,MSK,2023-01,1171.0,,True
SKU_0007,MSK,2023-02,947.0,,True
SKU_0007,MSK,2023-03,1058.0,,True
SKU_0007,MSK,2023-04,1200.0,,True
SKU_0007,MSK,2023-05,1383.0,,True
SKU_0007,MSK,2023-06,1535.0,,True
SKU_0007,MSK,2023-07,1735.0,,True
SKU_0007,MSK,2023-08,1481.0,,True
SKU_0007,MSK,2023-09,1796.0106349327666,stockout,False
SKU_0007,MSK,2023-10,1764.7150518654792,stockout,False
SKU_0007,MSK,2023-11,1749.0,,True
SKU_0007,MSK,2023-12,1550.0,,True
SKU_0007,MSK,2024-01,1452.0,,True
SKU_0007,MSK,2024-02,1294.0,,True
SKU_0007,MSK,2024-03,1093.0,,True
SKU_0007,MSK,2024-04,1000.0,,True
SKU_0007,MSK,2024-05,1349.0,,True
SKU_0007,MSK,2024-06,1713.0,,True
SKU_0007,MSK,2024-07,1530.0,,True
SKU_0007,MSK,2024-08,1441.0,,True
SKU_0007,MSK,2024-09,2055.0,,True
SKU_0007,MSK,2024-10,2067.0,,True
SKU_0007,MSK,2024-11,1817.0,,True
SKU_0007,MSK,2024-12,1630.0,,True
SKU_0007,MSK,2025-01,1288.0,,True
SKU_0007,MSK,2025-02,1430.0,,True
SKU_0007,MSK,2025-03,1162.0,,True
SKU_0007,MSK,2025-04,1334.0,,True
SKU_0007,MSK,2025-05,1125.0,,True
SKU_0007,MSK,2025-06,1558.0,,True
SKU_0007,MSK,2025-07,1412.0,,True
SKU_0007,MSK,2025-08,1732.0,,True
SKU_0007,MSK,2025-09,1964.0,,True
SKU_0007,MSK,2025-10,1936.0,,True
SKU_0007,MSK,2025-11,1785.0,,True
SKU_0007,MSK,2025-12,2095.0,,True
SKU_0008,EKB,2023-01,132.0,,True
SKU_0008,EKB,2023-02,148.0,,True
SKU_0008,EKB,2023-03,178.0,,True
SKU_0008,EKB,2023-04,242.0,,True
SKU_0008,EKB,2023-05,163.0,,True
SKU_0008,EKB,2023-06,337.0,,True
SKU_0008,EKB,2023-07,216.0,,True
SKU_0008,EKB,2023-08,327.0,,True
SKU_0008,EKB,2023-09,232.0,,True
SKU_0008,EKB,2023-10,178.0,,True
SKU_0008,EKB,2023-11,180.0,,True
SKU_0008,EKB,2023-12,188.0,,True
SKU_0008,EKB,2024-01,191.0,,True
SKU_0008,EKB,2024-02,179.0,,True
SKU_0008,EKB,2024-03,193.0,,True
SKU_0008,EKB,2024-04,174.0,,True
SKU_0008,EKB,2024-05,241.0,,True
SKU_0008,EKB,2024-06,353.0,,True
SKU_0008,EKB,2024-07,279.0,,True
SKU_0008,EKB,2024-08,324.0,,True
SKU_0008,EKB,2024-09,246.0,,True
SKU_0008,EKB,2024-10,267.0,,True
SKU_0008,EKB,2024-11,213.0,,True
SKU_0008,EKB,2024-12,201.0,,True
SKU_0008,EKB,2025-01,177.0,,True
SKU_0008,EKB,2025-02,259.0,,True
SKU_0008,EKB,2025-03,181.0,,True
SKU_0008,EKB,2025-04,250.0,,True
SKU_0008,EKB,2025-05,312.0,,True
SKU_0008,EKB,2025-06,362.0,,True
SKU_0008,EKB,2025-07,417.0,,True
SKU_0008,EKB,2025-08,288.0,,True
SKU_0008,EKB,2025-09,337.0,,True
SKU_0008,EKB,2025-10,267.0,,True
SKU_0008,EKB,2025-11,295.0,,True
SKU_0008,EKB,2025-12,197.0,,True
SKU_0008,MSK,2023-01,395.0,,True
SKU_0008,MSK,2023-02,443.0,,True
SKU_0008,MSK,2023-03,533.0,,True
SKU_0008,MSK,2023-04,723.0,,True
SKU_0008,MSK,2023-05,486.0,,True
SKU_0008,MSK,2023-06,1009.0,,True
SKU_0008,MSK,2023-07,645.0,,True
SKU_0008,MSK,2023-08,979.0,,True
SKU_0008,MSK,2023-09,694.0,,True
SKU_0008,MSK,2023-10,532.0,,True
SKU_0008,MSK,2023-11,537.0,,True
SKU_0008,MSK,2023-12,563.0,,True
SKU_0008,MSK,2024-01,572.0,,True
SKU_0008,MSK,2024-02,537.0,,True
SKU_0008,MSK,2024-03,578.0,,True
SKU_0008,MSK,2024-04,519.0,,True
SKU_0008,MSK,2024-05,721.0,,True
SKU_0008,MSK,2024-06,1056.0,,True
SKU_0008,MSK,2024-07,836.0,,True
SKU_0008,MSK,2024-08,970.0,,True
SKU_0008,MSK,2024-09,735.0,,True
SKU_0008,MSK,2024-10,798.0,,True
SKU_0008,MSK,2024-11,639.0,,True
SKU_0008,MSK,2024-12,601.0,,True
SKU_0008,MSK,2025-01,529.0,,True
SKU_0008,MSK,2025-02,775.0,,True
SKU_0008,MSK,2025-03,542.0,,True
SKU_0008,MSK,2025-04,747.0,,True
SKU_0008,MSK,2025-05,932.0,,True
SKU_0008,MSK,2025-06,1083.0,,True
SKU_0008,MSK,2025-07,1246.0,,True
SKU_0008,MSK,2025-08,862.0,,True
SKU_0008,MSK,2025-09,1007.0,,True
SKU_0008,MSK,2025-10,799.0,,True
SKU_0008,MSK,2025-11,883.0,,True
SKU_0008,MSK,2025-12,588.0,,True
SKU_0009,MSK,2023-01,8.0,,True
SKU_0009,MSK,2023-02,7.0,,True
SKU_0009,MSK,2023-03,0.0,,True
SKU_0009,MSK,2023-04,7.0,,True
SKU_0009,MSK,2023-05,5.0,,True
SKU_0009,MSK,2023-06,0.0,,True
SKU_0009,MSK,2023-07,0.0,,True
SKU_0009,MSK,2023-08,0.0,,True
SKU_0009,MSK,2023-09,0.0,,True
SKU_0009,MSK,2023-10,0.0,,True
SKU_0009,MSK,2023-11,0.0,,True
SKU_0009,MSK,2023-12,0.0,,True
SKU_0009,MSK,2024-01,0.0,,True
SKU_0009,MSK,2024-02,0.0,,True
SKU_0009,MSK,2024-03,0.0,,True
SKU_0009,MSK,2024-04,0.0,,True
SKU_0009,MSK,2024-05,0.0,,True
SKU_0009,MSK,2024-06,6.0,,True
SKU_0009,MSK,2024-07,0.0,,True
SKU_0009,MSK,2024-08,8.0,,True
SKU_0009,MSK,2024-09,0.0,,True
SKU_0009,MSK,2024-10,0.0,,True
SKU_0009,MSK,2024-11,0.0,,True
SKU_0009,MSK,2024-12,12.0,,True
SKU_0009,MSK,2025-01,10.0,,True
SKU_0009,MSK,2025-02,0.0,,True
SKU_0009,MSK,2025-03,0.0,,True
SKU_0009,MSK,2025-04,0.0,,True
SKU_0009,MSK,2025-05,0.0,,True
SKU_0009,MSK,2025-06,6.0,,True
SKU_0009,MSK,2025-07,0.0,,True
SKU_0009,MSK,2025-08,7.0,,True
SKU_0009,MSK,2025-09,0.0,,True
SKU_0009,MSK,2025-10,0.0,,True
SKU_0009,MSK,2025-11,0.0,,True
SKU_0009,MSK,2025-12,0.0,,True
SKU_0010,MSK,2023-01,2572.0,,True
SKU_0010,MSK,2023-02,2948.0,,True
SKU_0010,MSK,2023-03,3565.0,,True
SKU_0010,MSK,2023-04,1952.0,,True
SKU_0010,MSK,2023-05,2974.0,,True
SKU_0010,MSK,2023-06,2408.0,,True
SKU_0010,MSK,2023-07,3056.0,,True
SKU_0010,MSK,2023-08,3610.0,,True
SKU_0010,MSK,2023-09,3642.0,,True
SKU_0010,MSK,2023-10,3739.0,,True
SKU_0010,MSK,2023-11,3059.0,,True
SKU_0010,MSK,2023-12,4349.0,,True
SKU_0010,MSK,2024-01,3268.0,,True
SKU_0010,MSK,2024-02,2280.0,,True
SKU_0010,MSK,2024-03,1637.0,,True
SKU_0010,MSK,2024-04,2119.0,,True
SKU_0010,MSK,2024-05,2738.0,,True
SKU_0010,MSK,2024-06,2646.0,,True
SKU_0010,MSK,2024-07,3145.0,,True
SKU_0010,MSK,2024-08,3927.0,,True
SKU_0010,MSK,2024-09,3917.0,,True
SKU_0010,MSK,2024-10,2965.0,,True
SKU_0010,MSK,2024-11,3758.0,,True
SKU_0010,MSK,2024-12,2824.0,,True
SKU_0010,MSK,2025-01,3598.0,,True
SKU_0010,MSK,2025-02,2671.0,,True
SKU_0010,MSK,2025-03,2849.0,,True
SKU_0010,MSK,2025-04,2374.0,,True
SKU_0010,MSK,2025-05,2279.0,,True
SKU_0010,MSK,2025-06,3014.0,,True
SKU_0010,MSK,2025-07,2811.0,,True
SKU_0010,MSK,2025-08,3444.0,,True
SKU_0010,MSK,2025-09,4076.0,,True
SKU_0010,MSK,2025-10,2855.0,,True
SKU_0010,MSK,2025-11,4080.0,,True
SKU_0010,MSK,2025-12,4876.0,,True
SKU_0012,MSK,2023-01,546.0,,True
SKU_0012,MSK,2023-02,458.0,,True
SKU_0012,MSK,2023-03,725.0,,True
SKU_0012,MSK,2023-04,726.0,,True
SKU_0012,MSK,2023-05,798.0,,True
SKU_0012,MSK,2023-06,624.0,,True
SKU_0012,MSK,2023-07,600.0,,True
SKU_0012,MSK,2023-08,681.0,,True
SKU_0012,MSK,2023-09,552.0,,True
SKU_0012,MSK,2023-10,572.0,,True
SKU_0012,MSK,2023-11,448.0,,True
SKU_0012,MSK,2023-12,627.0,,True
SKU_0012,MSK,2024-01,703.0,,True
SKU_0012,MSK,2024-02,802.0,,True
SKU_0012,MSK,2024-03,835.0,,True
SKU_0012,MSK,2024-04,746.0,,True
SKU_0012,MSK,2024-05,929.0,,True
SKU_0012,MSK,2024-06,840.0,,True
SKU_0012,MSK,2024-07,758.0,,True
SKU_0012,MSK,2024-08,790.0,,True
SKU_0012,MSK,2024-09,672.1175039254233,stockout,False
SKU_0012,MSK,2024-10,684.5364931739774,stockout,False
SKU_0012,MSK,2024-11,591.6589687711631,stockout,False
SKU_0012,MSK,2024-12,631.0,,True
SKU_0012,MSK,2025-01,785.0,,True
SKU_0012,MSK,2025-02,804.0,,True
SKU_0012,MSK,2025-03,979.0,,True
SKU_0012,MSK,2025-04,966.0,,True
SKU_0012,MSK,2025-05,1000.0,,True
SKU_0012,MSK,2025-06,874.0,,True
SKU_0012,MSK,2025-07,767.0,,True
SKU_0012,MSK,2025-08,661.0,,True
SKU_0012,MSK,2025-09,641.0,,True
SKU_0012,MSK,2025-10,606.0,,True
SKU_0012,MSK,2025-11,526.0,,True
SKU_0012,MSK,2025-12,710.0,,True
SKU_0013,MSK,2023-01,1005.0,,True
SKU_0013,MSK,2023-02,1359.0,,True
SKU_0013,MSK,2023-03,1460.0,,True
SKU_0013,MSK,2023-04,1799.0,,True
SKU_0013,MSK,2023-05,1559.0,,True
SKU_0013,MSK,2023-06,1644.0,,True
SKU_0013,MSK,2023-07,2362.0,,True
SKU_0013,MSK,2023-08,1669.0,,True
SKU_0013,MSK,2023-09,1600.0,,True
SKU_0013,MSK,2023-10,1314.0,,True
SKU_0013,MSK,2023-11,1221.0,,True
SKU_0013,MSK,2023-12,949.0,,True
SKU_0013,MSK,2024-01,1301.0,,True
SKU_0013,MSK,2024-02,1486.0,,True
SKU_0013,MSK,2024-03,1843.0,,True
SKU_0013,MSK,2024-04,1373.0,,True
SKU_0013,MSK,2024-05,2100.0,,True
SKU_0013,MSK,2024-06,1992.0,,True
SKU_0013,MSK,2024-07,1685.0,,True
SKU_0013,MSK,2024-08,2142.0,,True
SKU_0013,MSK,2024-09,1704.0,,True
SKU_0013,MSK,2024-10,1453.0,,True
SKU_0013,MSK,2024-11,1310.0,,True
SKU_0013,MSK,2024-12,1405.0,,True
SKU_0013,MSK,2025-01,1511.0,,True
SKU_0013,MSK,2025-02,1302.0,,True
SKU_0013,MSK,2025-03,1817.0,,True
SKU_0013,MSK,2025-04,1804.4649401728564,promo,False
SKU_0013,MSK,2025-05,1798.0,,True
SKU_0013,MSK,2025-06,2395.0,,True
SKU_0013,MSK,2025-07,2723.0,,True
SKU_0013,MSK,2025-08,2198.0,,True
SKU_0013,MSK,2025-09,1885.0,,True
SKU_0013,MSK,2025-10,1903.0,,True
SKU_0013,MSK,2025-11,1568.0,,True
SKU_0013,MSK,2025-12,1182.0,,True
SKU_0014,MSK,2023-01,1230.0,,True
SKU_0014,MSK,2023-02,1270.0,,True
SKU_0014,MSK,2023-03,1540.0,,True
SKU_0014,MSK,2023-04,1632.0,,True
SKU_0014,MSK,2023-05,1762.0,,True
SKU_0014,MSK,2023-06,1580.0,,True
SKU_0014,MSK,2023-07,1296.0,,True
SKU_0014,MSK,2023-08,1391.0,,True
SKU_0014,MSK,2023-09,1476.0,,True
SKU_0014,MSK,2023-10,1288.0,,True
SKU_0014,MSK,2023-11,1202.0,,True
SKU_0014,MSK,2023-12,966.0,,True
SKU_0014,MSK,2024-01,1490.0,,True
SKU_0014,MSK,2024-02,1262.0,,True
SKU_0014,MSK,2024-03,1591.0,,True
SKU_0014,MSK,2024-04,1896.0,,True
SKU_0014,MSK,2024-05,1333.0,,True
SKU_0014,MSK,2024-06,1593.729508234454,negative,False
SKU_0014,MSK,2024-07,1254.0,,True
SKU_0014,MSK,2024-08,2057.0,,True
SKU_0014,MSK,2024-09,1662.0,,True
SKU_0014,MSK,2024-10,1203.0,,True
SKU_0014,MSK,2024-11,1067.0,,True
SKU_0014,MSK,2024-12,1488.0,,True
SKU_0014,MSK,2025-01,1426.0,,True
SKU_0014,MSK,2025-02,1345.0,,True
SKU_0014,MSK,2025-03,1212.0,,True
SKU_0014,MSK,2025-04,1947.0,,True
SKU_0014,MSK,2025-05,2220.0,,True
SKU_0014,MSK,2025-06,1806.0,,True
SKU_0014,MSK,2025-07,2321.0,,True
SKU_0014,MSK,2025-08,1869.0,,True
SKU_0014,MSK,2025-09,1192.0,,True
SKU_0014,MSK,2025-10,1269.0,,True
SKU_0014,MSK,2025-11,1393.0,,True
SKU_0014,MSK,2025-12,1302.0,,True
SKU_0015,MSK,2023-01,0.0,,True
SKU_0015,MSK,2023-02,0.0,,True
SKU_0015,MSK,2023-03,0.0,,True
SKU_0015,MSK,2023-04,7.0,,True
SKU_0015,MSK,2023-05,0.0,,True
SKU_0015,MSK,2023-06,0.0,,True
SKU_0015,MSK,2023-07,0.0,,True
SKU_0015,MSK,2023-08,0.0,,True
SKU_0015,MSK,2023-09,0.0,,True
SKU_0015,MSK,2023-10,0.0,,True
SKU_0015,MSK,2023-11,5.0,,True
SKU_0015,MSK,2023-12,0.0,,True
SKU_0015,MSK,2024-01,0.0,,True
SKU_0015,MSK,2024-02,0.0,,True
SKU_0015,MSK,2024-03,0.0,,True
SKU_0015,MSK,2024-04,9.0,,True
SKU_0015,MSK,2024-05,8.0,,True
SKU_0015,MSK,2024-06,0.0,,True
SKU_0015,MSK,2024-07,0.0,,True
SKU_0015,MSK,2024-08,0.0,,True
SKU_0015,MSK,2024-09,0.0,,True
SKU_0015,MSK,2024-10,0.0,,True
SKU_0015,MSK,2024-11,5.0,,True
SKU_0015,MSK,2024-12,6.0,,True
SKU_0015,MSK,2025-01,8.0,,True
SKU_0015,MSK,2025-02,0.0,,True
SKU_0015,MSK,2025-03,0.0,,True
SKU_0015,MSK,2025-04,0.0,,True
SKU_0015,MSK,2025-05,0.0,,True
SKU_0015,MSK,2025-06,0.0,,True
SKU_0015,MSK,2025-07,0.0,,True
SKU_0015,MSK,2025-08,7.0,,True
SKU_0015,MSK,2025-09,6.0,,True
SKU_0015,MSK,2025-10,0.0,,True
SKU_0015,MSK,2025-11,0.0,,True
SKU_0015,MSK,2025-12,0.0,,True
SKU_0016,MSK,2023-01,130.0,,True
SKU_0016,MSK,2023-02,116.0,,True
SKU_0016,MSK,2023-03,170.0,,True
SKU_0016,MSK,2023-04,159.0,,True
SKU_0016,MSK,2023-05,113.0,,True
SKU_0016,MSK,2023-06,114.0,,True
SKU_0016,MSK,2023-07,108.0,,True
SKU_0016,MSK,2023-08,102.0,,True
SKU_0016,MSK,2023-09,114.0,,True
SKU_0016,MSK,2023-10,93.0,,True
SKU_0016,MSK,2023-11,105.0,,True
SKU_0016,MSK,2023-12,110.0,,True
SKU_0016,MSK,2024-01,132.0,,True
SKU_0016,MSK,2024-02,150.0,,True
SKU_0016,MSK,2024-03,137.0,,True
SKU_0016,MSK,2024-04,152.0,,True
SKU_0016,MSK,2024-05,131.0,,True
SKU_0016,MSK,2024-06,190.0,,True
SKU_0016,MSK,2024-07,134.0,,True
SKU_0016,MSK,2024-08,109.0,,True
