segment,sku,location,method,mase,rmsse,wape,bias,abs_err,err,vol
intermittent,SKU_0040,MSK,seasonal_naive,0.429,0.499,0.647,0.026,200.0,8.0,309.0
intermittent,SKU_0040,MSK,tsb,0.874,0.674,1.296,-0.069,400.433,-21.455,309.0
regular,SKU_0010,MSK,moving_average_6,1.132,1.018,0.216,-0.022,20080.333,-2010.0,93082.0
regular,SKU_0010,MSK,seasonal_naive,0.779,0.708,0.15,-0.061,13948.0,-5632.0,93082.0
regular,SKU_0010,MSK,seasonal_ses,0.923,0.822,0.177,-0.001,16504.085,-86.514,93082.0
regular,SKU_0010,MSK,ses,0.912,0.825,0.173,-0.022,16121.36,-2093.108,93082.0
regular,SKU_0013,MSK,moving_average_6,1.464,1.368,0.239,-0.102,12590.345,-5341.439,52590.0
regular,SKU_0013,MSK,seasonal_naive,0.98,1.002,0.165,-0.105,8685.0,-5535.0,52590.0
regular,SKU_0013,MSK,seasonal_ses,0.879,0.834,0.14,-0.028,7346.834,-1478.4,52590.0
regular,SKU_0013,MSK,ses,1.389,1.312,0.231,-0.045,12122.668,-2386.266,52590.0
regular,SKU_0014,MSK,moving_average_6,2.043,1.568,0.288,-0.042,14332.333,-2099.0,49712.0
regular,SKU_0014,MSK,seasonal_naive,1.611,1.413,0.222,-0.087,11028.811,-4306.811,49712.0
regular,SKU_0014,MSK,seasonal_ses,1.637,1.472,0.228,-0.034,11314.897,-1667.94,49712.0
regular,SKU_0014,MSK,ses,2.01,1.548,0.285,-0.044,14185.448,-2170.803,49712.0
regular,SKU_0020,MSK,moving_average_6,0.865,0.901,0.166,-0.002,16066.5,-213.5,96827.0
regular,SKU_0020,MSK,seasonal_naive,1.002,0.979,0.192,0.016,18583.0,1509.0,96827.0
regular,SKU_0020,MSK,seasonal_ses,1.18,1.153,0.228,0.06,22041.823,5839.996,96827.0
regular,SKU_0020,MSK,ses,0.922,0.904,0.177,-0.004,17156.107,-373.807,96827.0
regular,SKU_0025,MSK,moving_average_6,1.398,1.25,0.368,0.088,32658.833,7850.5,88712.0
regular,SKU_0025,MSK,seasonal_naive,1.034,0.949,0.267,0.042,23692.0,3686.0,88712.0
regular,SKU_0025,MSK,seasonal_ses,1.099,1.093,0.283,0.139,25118.759,12292.573,88712.0
regular,SKU_0025,MSK,ses,1.05,0.946,0.275,0.109,24405.743,9662.292,88712.0
regular,SKU_0027,EKB,moving_average_6,1.938,1.627,0.264,-0.113,4613.333,-1972.0,17468.0
regular,SKU_0027,EKB,seasonal_naive,1.267,1.172,0.172,-0.11,3010.0,-1924.0,17468.0
regular,SKU_0027,EKB,seasonal_ses,1.057,0.966,0.144,-0.06,2515.043,-1045.889,17468.0
regular,SKU_0027,EKB,ses,1.788,1.499,0.247,-0.071,4312.714,-1237.64,17468.0
regular,SKU_0027,MSK,moving_average_6,1.934,1.626,0.264,-0.113,13248.0,-5656.0,50187.0
regular,SKU_0027,MSK,seasonal_naive,1.266,1.172,0.172,-0.11,8650.0,-5530.0,50187.0
regular,SKU_0027,MSK,seasonal_ses,1.057,0.967,0.144,-0.062,7234.19,-3092.509,50187.0
regular,SKU_0027,MSK,ses,1.786,1.498,0.247,-0.071,12396.855,-3547.495,50187.0
regular,SKU_0039,MSK,moving_average_6,1.562,1.381,0.194,-0.073,9587.0,-3605.0,49494.0
regular,SKU_0039,MSK,seasonal_naive,1.564,1.46,0.196,-0.102,9725.0,-5039.0,49494.0
regular,SKU_0039,MSK,seasonal_ses,1.479,1.446,0.185,-0.04,9177.548,-1974.888,49494.0
regular,SKU_0039,MSK,ses,1.469,1.257,0.181,-0.054,8980.129,-2654.595,49494.0
seasonal,SKU_0001,MSK,seasonal_naive,1.032,0.919,0.134,-0.132,1316.746,-1300.746,9846.0
seasonal,SKU_0001,MSK,seasonal_naive_growth,0.421,0.43,0.055,-0.023,541.995,-225.575,9846.0
seasonal,SKU_0001,MSK,seasonal_ses,0.74,0.677,0.096,-0.066,948.666,-648.961,9846.0
seasonal,SKU_0001,MSK,ses,1.407,1.328,0.183,-0.081,1797.285,-801.558,9846.0
seasonal,SKU_0003,EKB,seasonal_naive,1.017,1.005,0.137,0.02,1069.0,157.0,7826.0
seasonal,SKU_0003,EKB,seasonal_naive_growth,1.165,1.13,0.157,0.029,1226.075,224.606,7826.0
seasonal,SKU_0003,EKB,seasonal_ses,0.907,0.853,0.122,-0.004,952.714,-31.989,7826.0
seasonal,SKU_0003,EKB,ses,1.764,1.653,0.238,0.017,1864.671,129.308,7826.0
seasonal,SKU_0003,MSK,seasonal_naive,1.017,1.006,0.136,0.019,2483.0,347.0,18211.0
seasonal,SKU_0003,MSK,seasonal_naive_growth,1.162,1.129,0.156,0.027,2841.903,498.631,18211.0
seasonal,SKU_0003,MSK,seasonal_ses,0.907,0.854,0.122,-0.005,2213.652,-83.667,18211.0
seasonal,SKU_0003,MSK,ses,1.764,1.654,0.238,0.016,4331.964,295.975,18211.0
seasonal,SKU_0004,MSK,seasonal_naive,0.962,0.952,0.172,-0.045,4038.0,-1050.0,23464.0
seasonal,SKU_0004,MSK,seasonal_naive_growth,1.107,1.075,0.198,0.103,4648.013,2409.543,23464.0
seasonal,SKU_0004,MSK,seasonal_ses,1.022,0.967,0.184,0.022,4315.382,512.566,23464.0
seasonal,SKU_0004,MSK,ses,1.388,1.23,0.249,-0.0,5832.476,-10.505,23464.0
seasonal,SKU_0005,MSK,seasonal_naive,1.086,0.881,0.126,-0.103,2247.039,-1831.039,17770.0
seasonal,SKU_0005,MSK,seasonal_naive_growth,0.853,0.749,0.098,-0.053,1745.58,-937.903,17770.0
seasonal,SKU_0005,MSK,seasonal_ses,1.068,0.883,0.126,-0.074,2237.668,-1317.631,17770.0
seasonal,SKU_0005,MSK,ses,0.787,0.619,0.094,0.024,1674.534,427.128,17770.0
seasonal,SKU_0006,MSK,seasonal_naive,0.886,0.773,0.072,-0.04,270.073,-148.073,3740.0
seasonal,SKU_0006,MSK,seasonal_naive_growth,1.136,0.908,0.096,0.001,359.687,2.837,3740.0
seasonal,SKU_0006,MSK,seasonal_ses,1.23,1.029,0.105,-0.002,390.833,-6.257,3740.0
seasonal,SKU_0006,MSK,ses,2.653,2.014,0.232,0.049,866.913,182.099,3740.0
seasonal,SKU_0007,MSK,seasonal_naive,1.025,0.987,0.112,-0.009,5204.0,-434.0,46482.0
seasonal,SKU_0007,MSK,seasonal_naive_growth,1.158,1.081,0.127,0.028,5891.684,1321.603,46482.0
seasonal,SKU_0007,MSK,seasonal_ses,1.162,1.139,0.127,0.006,5897.361,262.081,46482.0
seasonal,SKU_0007,MSK,ses,1.692,1.576,0.186,-0.049,8649.697,-2275.049,46482.0
seasonal,SKU_0008,EKB,seasonal_naive,1.303,1.298,0.188,-0.151,1641.0,-1317.0,8724.0
seasonal,SKU_0008,EKB,seasonal_naive_growth,1.297,1.086,0.189,-0.021,1649.156,-179.946,8724.0
seasonal,SKU_0008,EKB,seasonal_ses,1.363,1.234,0.198,-0.058,1724.925,-508.971,8724.0
seasonal,SKU_0008,EKB,ses,1.635,1.465,0.238,-0.074,2075.082,-642.971,8724.0
seasonal,SKU_0008,MSK,seasonal_naive,1.296,1.29,0.188,-0.15,4899.0,-3923.0,26087.0
seasonal,SKU_0008,MSK,seasonal_naive_growth,1.289,1.079,0.188,-0.02,4915.459,-520.499,26087.0
seasonal,SKU_0008,MSK,seasonal_ses,1.357,1.23,0.198,-0.058,5152.897,-1517.092,26087.0
seasonal,SKU_0008,MSK,ses,1.626,1.458,0.237,-0.074,6192.175,-1921.469,26087.0
seasonal,SKU_0012,MSK,seasonal_naive,0.663,0.648,0.103,-0.032,2446.28,-751.72,23637.0
seasonal,SKU_0012,MSK,seasonal_naive_growth,0.942,0.838,0.146,0.119,3455.786,2812.254,23637.0
seasonal,SKU_0012,MSK,seasonal_ses,0.654,0.635,0.103,0.012,2426.835,281.951,23637.0
seasonal,SKU_0012,MSK,ses,1.369,1.21,0.214,0.023,5062.594,549.622,23637.0
seasonal,SKU_0016,MSK,seasonal_naive,0.838,0.717,0.112,-0.009,448.0,-34.0,3983.0
seasonal,SKU_0016,MSK,seasonal_naive_growth,0.954,0.815,0.128,0.062,510.109,246.278,3983.0
seasonal,SKU_0016,MSK,seasonal_ses,0.95,0.773,0.128,-0.02,508.038,-79.889,3983.0
seasonal,SKU_0016,MSK,ses,1.547,1.138,0.213,0.027,846.869,107.481,3983.0
seasonal,SKU_0017,EKB,seasonal_naive,1.425,1.415,0.198,0.009,195.0,9.0,983.0
seasonal,SKU_0017,EKB,seasonal_naive_growth,1.453,1.436,0.203,-0.041,199.807,-40.638,983.0
seasonal,SKU_0017,EKB,seasonal_ses,1.412,1.383,0.195,-0.001,192.16,-0.958,983.0
seasonal,SKU_0017,EKB,ses,1.232,1.196,0.168,-0.087,164.739,-85.544,983.0
seasonal,SKU_0017,MSK,seasonal_naive,1.337,1.358,0.189,0.011,715.0,41.0,3791.0
seasonal,SKU_0017,MSK,seasonal_naive_growth,1.393,1.382,0.197,-0.041,748.292,-154.694,3791.0
seasonal,SKU_0017,MSK,seasonal_ses,1.356,1.336,0.191,-0.007,723.028,-26.118,3791.0
seasonal,SKU_0017,MSK,ses,1.199,1.169,0.166,-0.088,630.384,-334.657,3791.0
seasonal,SKU_0018,MSK,seasonal_naive,1.044,1.013,0.135,-0.101,1343717.0,-1007251.0,9960286.0
seasonal,SKU_0018,MSK,seasonal_naive_growth,0.989,0.977,0.128,-0.05,1275240.302,-499712.221,9960286.0
seasonal,SKU_0018,MSK,seasonal_ses,1.065,0.97,0.14,-0.073,1390968.29,-727376.392,9960286.0
seasonal,SKU_0018,MSK,ses,1.265,1.194,0.168,-0.096,1670208.073,-960057.444,9960286.0
seasonal,SKU_0019,MSK,seasonal_naive,0.912,0.904,0.083,-0.049,314.0,-184.0,3783.0
seasonal,SKU_0019,MSK,seasonal_naive_growth,0.96,0.937,0.087,-0.052,330.457,-196.51,3783.0
seasonal,SKU_0019,MSK,seasonal_ses,0.737,0.722,0.067,-0.016,255.338,-58.801,3783.0
seasonal,SKU_0019,MSK,ses,1.841,1.632,0.169,-0.049,639.817,-185.778,3783.0
seasonal,SKU_0021,MSK,seasonal_naive,0.497,0.467,0.05,0.008,781.0,125.0,15516.0
seasonal,SKU_0021,MSK,seasonal_naive_growth,0.552,0.529,0.056,-0.023,876.173,-357.623,15516.0
seasonal,SKU_0021,MSK,seasonal_ses,0.791,0.684,0.077,0.0,1198.867,4.915,15516.0
seasonal,SKU_0021,MSK,ses,1.781,1.563,0.174,-0.039,2704.187,-607.459,15516.0
seasonal,SKU_0022,EKB,seasonal_naive,0.871,0.847,0.141,-0.141,3198.0,-3198.0,22729.0
seasonal,SKU_0022,EKB,seasonal_naive_growth,0.677,0.707,0.108,0.022,2449.662,490.757,22729.0
seasonal,SKU_0022,EKB,seasonal_ses,0.568,0.614,0.091,-0.03,2079.532,-674.353,22729.0
seasonal,SKU_0022,EKB,ses,1.223,1.157,0.205,-0.01,4652.7,-224.436,22729.0
seasonal,SKU_0022,MSK,seasonal_naive,0.871,0.847,0.141,-0.141,7585.0,-7585.0,53867.0
seasonal,SKU_0022,MSK,seasonal_naive_growth,0.676,0.707,0.108,0.022,5802.288,1160.674,53867.0
seasonal,SKU_0022,MSK,seasonal_ses,0.568,0.614,0.091,-0.03,4926.394,-1600.1,53867.0
seasonal,SKU_0022,MSK,ses,1.224,1.157,0.205,-0.01,11036.487,-531.236,53867.0
seasonal,SKU_0023,MSK,seasonal_naive,0.919,0.979,0.077,-0.035,2961.0,-1345.0,38667.0
seasonal,SKU_0023,MSK,seasonal_naive_growth,1.03,1.066,0.082,-0.008,3165.441,-309.507,38667.0
seasonal,SKU_0023,MSK,seasonal_ses,0.891,1.0,0.074,-0.023,2877.407,-905.969,38667.0
seasonal,SKU_0023,MSK,ses,2.597,2.496,0.209,0.064,8100.104,2480.467,38667.0
seasonal,SKU_0028,MSK,seasonal_naive,1.383,1.26,0.196,-0.112,915.0,-523.0,4670.0
seasonal,SKU_0028,MSK,seasonal_naive_growth,1.109,1.158,0.156,-0.012,730.224,-57.8,4670.0
seasonal,SKU_0028,MSK,seasonal_ses,1.332,1.259,0.188,-0.089,880.236,-413.555,4670.0
seasonal,SKU_0028,MSK,ses,1.547,1.463,0.219,-0.118,1023.111,-552.194,4670.0
seasonal,SKU_0030,MSK,seasonal_naive,1.271,1.237,0.17,-0.121,3715.0,-2641.0,21860.0
seasonal,SKU_0030,MSK,seasonal_naive_growth,1.194,1.132,0.16,-0.012,3503.355,-268.636,21860.0
seasonal,SKU_0030,MSK,seasonal_ses,1.129,1.069,0.152,-0.046,3311.796,-1013.728,21860.0
seasonal,SKU_0030,MSK,ses,1.17,1.024,0.157,-0.082,3432.291,-1788.486,21860.0
seasonal,SKU_0032,MSK,seasonal_naive,1.064,0.973,0.149,-0.059,6685.0,-2655.0,44899.0
seasonal,SKU_0032,MSK,seasonal_naive_growth,1.059,1.001,0.15,0.046,6715.835,2084.514,44899.0
seasonal,SKU_0032,MSK,seasonal_ses,1.415,1.324,0.203,0.034,9095.106,1539.752,44899.0
seasonal,SKU_0032,MSK,ses,1.971,1.768,0.279,0.031,12538.113,1378.512,44899.0
seasonal,SKU_0033,MSK,seasonal_naive,1.051,0.941,0.125,-0.068,14104.941,-7632.941,112660.0
seasonal,SKU_0033,MSK,seasonal_naive_growth,0.779,0.794,0.092,0.031,10415.479,3475.271,112660.0
seasonal,SKU_0033,MSK,seasonal_ses,0.747,0.733,0.09,-0.026,10110.465,-2948.638,112660.0
seasonal,SKU_0033,MSK,ses,1.619,1.49,0.194,-0.001,21854.83,-107.103,112660.0
seasonal,SKU_0034,EKB,seasonal_naive,1.161,1.121,0.119,-0.097,1254.0,-1020.0,10510.0
seasonal,SKU_0034,EKB,seasonal_naive_growth,0.99,0.89,0.103,-0.01,1084.563,-109.881,10510.0
seasonal,SKU_0034,EKB,seasonal_ses,1.112,1.008,0.116,-0.042,1214.758,-436.798,10510.0
seasonal,SKU_0034,EKB,ses,2.454,2.218,0.256,0.008,2694.194,79.942,10510.0
seasonal,SKU_0034,MSK,seasonal_naive,1.155,1.117,0.119,-0.096,2556.0,-2070.0,21519.0
seasonal,SKU_0034,MSK,seasonal_naive_growth,0.991,0.889,0.103,-0.01,2224.296,-208.72,21519.0
seasonal,SKU_0034,MSK,seasonal_ses,1.102,1.003,0.115,-0.039,2469.048,-843.303,21519.0
seasonal,SKU_0034,MSK,ses,2.453,2.216,0.256,0.008,5515.855,168.713,21519.0
seasonal,SKU_0037,MSK,seasonal_naive,1.636,1.407,0.158,-0.158,1611.297,-1611.297,10203.0
seasonal,SKU_0037,MSK,seasonal_naive_growth,0.663,0.635,0.062,-0.033,636.308,-332.503,10203.0
seasonal,SKU_0037,MSK,seasonal_ses,0.688,0.679,0.064,-0.029,655.389,-299.124,10203.0
seasonal,SKU_0037,MSK,ses,1.76,1.582,0.169,-0.086,1726.916,-881.563,10203.0
seasonal,SKU_0038,MSK,seasonal_naive,1.091,0.995,0.116,-0.09,448.0,-346.0,3854.0
seasonal,SKU_0038,MSK,seasonal_naive_growth,0.742,0.741,0.085,0.053,326.309,204.749,3854.0
seasonal,SKU_0038,MSK,seasonal_ses,0.827,0.736,0.086,-0.025,331.453,-96.192,3854.0
seasonal,SKU_0038,MSK,ses,1.794,1.604,0.193,0.043,745.375,167.095,3854.0
